Module,Component,Type,Name,Description,Parameters,Return Type,Features,Requirements,Factory Function
connection_params.py,Enum,ConnectionType,RDP,"Remote Desktop Protocol connection",N/A,ConnectionType,Protocol specification,Standard RDP protocol support,No
connection_params.py,Enum,ConnectionType,SSH,"Secure Shell connection",N/A,ConnectionType,Protocol specification,SSH client/server support,No
connection_params.py,Enum,ConnectionType,VNC,"Virtual Network Computing connection",N/A,ConnectionType,Protocol specification,VNC viewer/server support,No
connection_params.py,Enum,ConnectionType,WEBSOCKET,"WebSocket connection",N/A,ConnectionType,Protocol specification,WebSocket protocol support,No
connection_params.py,Enum,ConnectionType,BLOCKCHAIN,"Blockchain network connection",N/A,ConnectionType,Protocol specification,Blockchain protocol support,No
connection_params.py,Enum,ConnectionType,NODE,"Distributed node connection",N/A,ConnectionType,Protocol specification,Node protocol support,No
connection_params.py,Enum,SecurityLevel,LOW,"Low security level",N/A,SecurityLevel,Security classification,Basic encryption,No
connection_params.py,Enum,SecurityLevel,MEDIUM,"Medium security level",N/A,SecurityLevel,Security classification,Standard encryption,No
connection_params.py,Enum,SecurityLevel,HIGH,"High security level",N/A,SecurityLevel,Security classification,Strong encryption,No
connection_params.py,Enum,SecurityLevel,MAXIMUM,"Maximum security level",N/A,SecurityLevel,Security classification,Maximum encryption,No
connection_params.py,Enum,AuthenticationMethod,PASSWORD,"Password authentication",N/A,AuthenticationMethod,Auth method specification,Password-based auth,No
connection_params.py,Enum,AuthenticationMethod,KEY,"Private key authentication",N/A,AuthenticationMethod,Auth method specification,Key-based auth,No
connection_params.py,Enum,AuthenticationMethod,CERTIFICATE,"Certificate authentication",N/A,AuthenticationMethod,Auth method specification,Certificate-based auth,No
connection_params.py,Enum,AuthenticationMethod,TOKEN,"Token authentication",N/A,AuthenticationMethod,Auth method specification,Token-based auth,No
connection_params.py,Enum,AuthenticationMethod,HARDWARE_WALLET,"Hardware wallet authentication",N/A,AuthenticationMethod,Auth method specification,Hardware wallet auth,No
connection_params.py,DataClass,ConnectionCredentials,ConnectionCredentials,"Connection credentials data structure","username: str, password: Optional[str], private_key: Optional[str], certificate: Optional[str], token: Optional[str], wallet_address: Optional[str], encrypted: bool",ConnectionCredentials,Credential management,Secure credential storage,No
connection_params.py,DataClass,NetworkConfig,NetworkConfig,"Network configuration data structure","host: str, port: int, protocol: str, timeout: int, keepalive: bool, compression: bool, encryption: bool",NetworkConfig,Network settings,Network protocol support,No
connection_params.py,DataClass,SecurityConfig,SecurityConfig,"Security configuration data structure","level: SecurityLevel, authentication_method: AuthenticationMethod, encryption_algorithm: str, key_exchange: str, certificate_validation: bool, require_mfa: bool, session_timeout: int",SecurityConfig,Security settings,Security protocol support,No
connection_params.py,DataClass,ConnectionParameters,ConnectionParameters,"Core connection parameters data structure","connection_id: str, name: str, connection_type: ConnectionType, network_config: NetworkConfig, credentials: ConnectionCredentials, security_config: SecurityConfig, metadata: Optional[Dict[str Any]], created_at: Optional[str], updated_at: Optional[str]",ConnectionParameters,Complete connection spec,All connection types,No
connection_params.py,Class,ConnectionParameterManager,__init__,"Initialize connection parameter manager","config_dir: Optional[str]",None,Manager initialization,Configuration directory setup,No
