Component,Category,Type,Name,Description,Parameters,Return Type,Features,Requirements,Dependencies,Usage
Enums,Data Types,Enum,EncryptionAlgorithm,"Supported encryption algorithms","N/A","EncryptionAlgorithm","Algorithm specification","Multiple encryption algorithms","cryptography library","Algorithm selection for encryption operations"
Enums,Data Types,Enum,HashAlgorithm,"Supported hash algorithms","N/A","HashAlgorithm","Hash specification","Multiple hash algorithms","hashlib library","Hash algorithm selection"
Enums,Data Types,Enum,KeyDerivationFunction,"Supported key derivation functions","N/A","KeyDerivationFunction","KDF specification","Multiple KDF algorithms","cryptography library","Key derivation method selection"
Enums,Data Types,Enum,SecurityLevel,"Security levels for cryptographic operations","N/A","SecurityLevel","Security classification","Multiple security levels","N/A","Security level configuration"
Data Classes,Data Models,DataClass,CryptoConfig,"Configuration for cryptographic operations","algorithm: EncryptionAlgorithm, key_size: int, iv_size: int, salt_size: int, iterations: int, security_level: SecurityLevel","CryptoConfig","Cryptographic configuration","Configuration management","N/A","Cryptographic operation configuration"
Data Classes,Data Models,DataClass,EncryptedData,"Structure for encrypted data with metadata","data: bytes, algorithm: str, iv: Optional[bytes], salt: Optional[bytes], tag: Optional[bytes], timestamp: Optional[float], metadata: Optional[Dict[str Any]]","EncryptedData","Encrypted data structure","Data encryption","N/A","Encrypted data representation"
Exceptions,Error Handling,Exception,CryptographicError,"Base exception for cryptographic operations","message: str","CryptographicError","Base cryptographic exception","Error handling","N/A","Base exception for crypto operations"
Exceptions,Error Handling,Exception,KeyGenerationError,"Exception raised during key generation","message: str","KeyGenerationError","Key generation error","Error handling","N/A","Key generation error handling"
Exceptions,Error Handling,Exception,EncryptionError,"Exception raised during encryption operations","message: str","EncryptionError","Encryption error","Error handling","N/A","Encryption error handling"
Exceptions,Error Handling,Exception,DecryptionError,"Exception raised during decryption operations","message: str","DecryptionError","Decryption error","Error handling","N/A","Decryption error handling"
Exceptions,Error Handling,Exception,SignatureError,"Exception raised during signature operations","message: str","SignatureError","Signature error","Error handling","N/A","Signature error handling"
Core Class,Cryptographic Operations,Class,CryptoManager,"Comprehensive cryptographic manager for Lucid project","default_security_level: SecurityLevel","CryptoManager","Complete cryptographic operations","Cryptographic functionality","cryptography hashlib hmac secrets base64","Main cryptographic operations manager"
Key Generation,Core Functions,Method,generate_master_key,"Generate a master encryption key","security_level: Optional[SecurityLevel]","bytes","Master key generation","Secure key generation","secrets library","Master key creation"
Key Generation,Core Functions,Method,derive_key,"Derive encryption key from password using PBKDF2","password: str, salt: Optional[bytes], security_level: Optional[SecurityLevel]","Tuple[bytes bytes]","Password-based key derivation","Key derivation","PBKDF2HMAC","Password-based key generation"
Key Generation,Core Functions,Method,generate_rsa_keypair,"Generate RSA key pair","key_size: int","Tuple[bytes bytes]","RSA key pair generation","RSA cryptography","cryptography RSA","RSA key pair creation"
