Category,Component,Description,Features,Implementation Details
Core Classes,MongoShardingManager,Main sharding management class,"Sharding configuration, Shard management, Collection sharding, Performance monitoring","Async/await pattern, Connection management, Error handling, Comprehensive logging"
Enums,ShardStatus,Shard status enumeration,"ACTIVE, INACTIVE, MIGRATING, ERROR","Type-safe status tracking, Status validation, Status transitions"
Enums,ShardingStrategy,Sharding strategy types,"RANGE, HASH, ZONED","Strategy selection, Performance optimization, Distribution control"
Enums,ShardKeyType,Shard key classification,"SIMPLE, COMPOUND, HASHED","Key complexity handling, Optimization suggestions, Query pattern analysis"
Data Models,ShardKey,Shard key configuration,"Field mapping, Strategy selection, Type determination","Flexible key definition, MongoDB format conversion, Strategy validation"
Data Models,ShardInfo,Shard information container,"Name, Host, Status, Statistics","Real-time monitoring, Performance metrics, Status tracking"
Data Models,CollectionShardConfig,Collection sharding configuration,"Collection name, Shard key, Unique constraints, Presplit chunks","Configuration management, Validation, Presplit optimization"
Core Functionality,Database Connection,Connection management,"Async connection, Connection testing, Graceful disconnection","Connection pooling, Health checks, Error recovery"
Core Functionality,Sharding Setup,Enable database sharding,"Database sharding enablement, Error handling, Status checking","Idempotent operations, Already enabled detection, Operation validation"
Core Functionality,Shard Management,Add/remove shards,"Shard addition, Shard removal, Force removal, Status tracking","Cluster scaling, Data migration, Force operations, Status validation"
Core Functionality,Collection Sharding,Shard individual collections,"Collection-specific sharding, Key configuration, Presplit chunks","Per-collection optimization, Key strategy selection, Chunk pre-splitting"
Collection Configurations,Sessions Collection,Session data sharding,"session_id hashed sharding, Unique constraints, Even distribution","User session isolation, Load balancing, Performance optimization"
Collection Configurations,Chunks Collection,Session chunk sharding,"session_id + sequence_number range sharding, Co-location optimization","Data locality, Query optimization, Sequential access patterns"
Collection Configurations,Encrypted Chunks,Encrypted data sharding,"Same strategy as chunks, Encryption-aware distribution","Security compliance, Performance consistency, Data co-location"
Collection Configurations,Work Proofs,Consensus work proof sharding,"node_id + slot range sharding, Node-based distribution","Consensus optimization, Node workload distribution, Time-based queries"
Collection Configurations,Task Proofs,Task proof sharding,"node_id hashed sharding, Node workload distribution","Node-specific queries, Load balancing, Consensus participation"
Collection Configurations,Work Tally,Work tally sharding,"slot hashed sharding, Time-based distribution","Temporal queries, Consensus tracking, Performance optimization"
Collection Configurations,Leader Schedule,Leader schedule sharding,"slot range sharding, Time-based distribution","Scheduling queries, Temporal access patterns, Consensus coordination"
Collection Configurations,Payouts,Payout data sharding,"node_id hashed sharding, Node-based distribution","Node-specific payouts, Load balancing, Financial tracking"
Collection Configurations,Authentication,User authentication sharding,"tron_address hashed sharding, User-based distribution","User isolation, Authentication performance, Load distribution"
