image_name,dockerfile_path,build_status,Date_Built
pickme/lucid-api-gateway:latest-arm64,03-api-gateway/Dockerfile,done,2025-11-07
pickme/lucid-blockchain-engine:latest-arm64,blockchain/Dockerfile.engine,done,2025-11-07
pickme/lucid-session-anchoring:latest-arm64,blockchain/Dockerfile.anchoring
pickme/lucid-block-manager:latest-arm64,blockchain/Dockerfile.manager,done,2025-11-07
pickme/lucid-data-chain:latest-arm64,blockchain/Dockerfile.data,done,2025-11-07
pickme/lucid-session-pipeline:latest-arm64,sessions/Dockerfile.pipeline,done,2025-11-07
pickme/lucid-session-recorder:latest-arm64,sessions/Dockerfile.recorder,done,2025-11-07
pickme/lucid-chunk-processor:latest-arm64,sessions/Dockerfile.processor,done,2025-11-07
pickme/lucid-session-storage:latest-arm64,sessions/Dockerfile.storage,done,2025-11-07
pickme/lucid-session-api:latest-arm64,sessions/Dockerfile.api,done,2025-11-07
pickme/lucid-rdp-server-manager:latest-arm64,RDP/Dockerfile.server-manager,done,2025-11-07
pickme/lucid-rdp-xrdp:latest-arm64,RDP/Dockerfile.xrdp,done,2025-11-07
pickme/lucid-rdp-controller:latest-arm64,RDP/Dockerfile.controller,done,2025-11-07
pickme/lucid-rdp-monitor:latest-arm64,RDP/Dockerfile.monitor,done,2025-11-07
pickme/lucid-node-management:latest-arm64,node/Dockerfile,done,2025-11-07
pickme/lucid-admin-interface:latest-arm64,admin/Dockerfile,done,2025-11-07
pickme/lucid-server-tools:latest-arm64,infrastructure/docker/common/Dockerfile.common,done,2025-11-07
pickme/lucid-base:latest-arm64,infrastructure/docker/distroless/base/Dockerfile.base,done,2025-11-07
pickme/lucid-tor-proxy:latest-arm64,02-network-security/tor/Dockerfile,done,2025-11-07
pickme/lucid-base:python-distroless-arm64,infrastructure/containers/base/Dockerfile.python-base,done,2025-11-07
pickme/lucid-base:java-distroless-arm64,infrastructure/containers/base/Dockerfile.java-base,done,2025-11-07
pickme/lucid-mongodb:latest-arm64,infrastructure/containers/storage/Dockerfile.mongodb,done,2025-11-07
pickme/lucid-redis:latest-arm64,infrastructure/containers/storage/Dockerfile.redis,done,2025-11-07
pickme/lucid-elasticsearch:latest-arm64,infrastructure/containers/storage/Dockerfile.elasticsearch,done,2025-11-07
pickme/lucid-auth-service:latest-arm64,auth/Dockerfile,done,2025-11-07
pickme/lucid-service-mesh-controller:latest-arm64,service-mesh/Dockerfile,pending,
pickme/lucid-tron-client:latest-arm64,payment-systems/tron/Dockerfile.tron-client,done,2025-11-07
pickme/lucid-payout-router:latest-arm64,payment-systems/tron/Dockerfile.payout-router,done,2025-11-07
pickme/lucid-wallet-manager:latest-arm64,payment-systems/tron/Dockerfile.wallet-manager,done,2025-11-07
pickme/lucid-usdt-manager:latest-arm64,payment-systems/tron/Dockerfile.usdt-manager,done,2025-11-07
pickme/lucid-trx-staking:latest-arm64,payment-systems/tron/Dockerfile.trx-staking,done,2025-11-07
pickme/lucid-payment-gateway:latest-arm64,payment-systems/tron/Dockerfile.payment-gateway,done,2025-11-08
pickme/lucid-gui:latest-arm64,infrastructure/docker/distroless/gui/Dockerfile.gui,pending,
pickme/lucid-rdp:latest-arm64,infrastructure/docker/distroless/rdp/Dockerfile.rdp,pending,
pickme/lucid-vm:latest-arm64,infrastructure/docker/multi-stage/Dockerfile.vm,done,2025-11-07
pickme/lucid-database:latest-arm64,infrastructure/containers/database/Dockerfile.database,pending,
pickme/lucid-database-utilities:latest-arm64,infrastructure/containers/database/Dockerfile.database,pending
pickme/lucid-server-tools:latest-arm64,infrastructure/docker/common/Dockerfile.common,pending,
pickme/lucid-base:latest-arm64,infrastructure/docker/distroless/base/Dockerfile.base,done,2025-11-07
pickme/lucid-rdp-bundle:latest-arm64,infrastructure/docker/distroless/rdp/Dockerfile.rdp,pending,
pickme/lucid-storage:latest-arm64,infrastructure/containers/storage/Dockerfile.storage,done,2025-11-08
pickme/lucid-storage-utilities:latest-arm64,infrastructure/containers/storage/Dockerfile.storage,done,2025-11-08
